DATE,SALES
1/1/2005,16125
2/1/2005,16674
3/1/2005,16293
4/1/2005,16636
5/1/2005,16514
6/1/2005,16824
7/1/2005,16450
8/1/2005,16759
9/1/2005,16450
10/1/2005,17120
11/1/2005,17142
12/1/2005,17207
1/1/2006,17331
2/1/2006,17384
3/1/2006,17385
4/1/2006,17542
5/1/2006,17492
6/1/2006,17701
7/1/2006,17691
8/1/2006,17635
9/1/2006,18256
10/1/2006,18126
11/1/2006,17910
12/1/2006,18497
1/1/2007,18493
2/1/2007,18144
3/1/2007,18643
4/1/2007,18189
5/1/2007,18545
6/1/2007,18388
7/1/2007,18522
8/1/2007,18491
9/1/2007,18412
10/1/2007,18431
11/1/2007,18759
12/1/2007,18570
1/1/2008,18542
2/1/2008,18280
3/1/2008,18338
4/1/2008,18384
5/1/2008,18642
6/1/2008,18708
7/1/2008,18635
8/1/2008,18524
9/1/2008,17560
10/1/2008,17317
11/1/2008,17173
12/1/2008,16868
1/1/2009,17159
2/1/2009,17401
3/1/2009,16510
4/1/2009,16900
5/1/2009,17038
6/1/2009,16817
7/1/2009,17015
8/1/2009,17233
9/1/2009,17172
10/1/2009,17296
11/1/2009,17105
12/1/2009,17127
1/1/2010,17346
2/1/2010,17404
3/1/2010,17918
4/1/2010,17705
5/1/2010,17653
6/1/2010,17522
7/1/2010,17578
8/1/2010,17662
9/1/2010,17687
10/1/2010,18000
11/1/2010,18435
12/1/2010,18178
1/1/2011,18363
2/1/2011,18592
3/1/2011,18718
4/1/2011,18957
5/1/2011,18846
6/1/2011,19182
7/1/2011,18998
8/1/2011,18922
9/1/2011,19489
10/1/2011,19136
11/1/2011,19311
12/1/2011,19494
1/1/2012,19588
2/1/2012,20269
3/1/2012,20058
4/1/2012,19533
5/1/2012,19657
6/1/2012,19878
7/1/2012,19724
8/1/2012,19931
9/1/2012,20119
10/1/2012,19939
11/1/2012,19972
12/1/2012,20162
1/1/2013,20434
2/1/2013,20305
3/1/2013,20316
4/1/2013,20498
5/1/2013,20376
6/1/2013,20368
7/1/2013,20578
8/1/2013,20315
9/1/2013,20305
10/1/2013,20790
11/1/2013,20279
12/1/2013,20565
1/1/2014,20517
2/1/2014,20543
3/1/2014,20667
4/1/2014,21161
5/1/2014,20765
6/1/2014,20799
7/1/2014,20918
8/1/2014,21035
9/1/2014,20830
10/1/2014,21121
11/1/2014,21394
12/1/2014,21296
1/1/2015,21039
2/1/2015,21326
3/1/2015,21381
4/1/2015,21444
5/1/2015,21626
6/1/2015,21391
7/1/2015,21548
8/1/2015,21587
9/1/2015,21446
10/1/2015,21239
11/1/2015,21348
12/1/2015,21506
1/1/2016,21289
2/1/2016,21962
3/1/2016,21491
4/1/2016,21407
5/1/2016,21579
6/1/2016,21673
7/1/2016,21431
8/1/2016,21787
9/1/2016,21906
10/1/2016,21696
11/1/2016,21629
12/1/2016,21951
1/1/2017,22025
2/1/2017,21654
3/1/2017,21760
4/1/2017,21777
5/1/2017,21648
6/1/2017,21791
7/1/2017,21619
8/1/2017,21779
9/1/2017,21897
10/1/2017,21796
11/1/2017,22068
12/1/2017,21760
1/1/2018,21848
2/1/2018,22365
3/1/2018,21697
4/1/2018,22045
5/1/2018,22855
6/1/2018,22343
7/1/2018,22698
8/1/2018,22101
9/1/2018,22112
10/1/2018,22506
11/1/2018,22535
12/1/2018,22028
